,open,high,low,close,volume,close_change,return,previous_return,close_executed,close_executed_fixed,close_executed_differential,investment_value,investment_return_dollar,investment_return, investment_return_fixed ,crypto_fees,investment_return_adjusted
2024-01-01 10:15:00+00:00,42641.29666666667,42646.238333333335,42638.89,42643.831666666665,0.006077363,-6.571833333,-0.000154086,-0.000156919,-42643.83167,-42643.83167,317,1009,7,0, -   ,0.0025, (0.0025)
2024-01-01 10:30:00+00:00,42673.589,42673.589,42673.589,42673.589,0,29.757333333334827,0.000697811,-0.000154086,0,0,0,1009,0,0, -   , ,   
2024-01-01 10:45:00+00:00,42729.915,42729.915,42724.3645,42724.3645,0,50.775500000003376,0.001189858,0.000697811,42724.3645,42724.3645,0,1009,0,0, -   ,0.0015, (0.0015)
2024-01-01 11:00:00+00:00,42704.175,42704.175,42704.175,42704.175,0,-20.1895,-0.000472552,0.001189858,0,0,0,1008,0,-0.00099108, (0.00099), ,   
2024-01-01 11:15:00+00:00,42708.5375,42713.0705,42708.5375,42712.59088,0,8.415874999998778,0.000197074,-0.000472552,0,0,0,1009,0,0.000992063, 0.00099 , ,   
2024-01-01 11:30:00+00:00,42667.1632,42671.638,42655.4011,42659.8759,0,-52.714975,-0.001234179,0.000197074,0,0,0,1007,0,-0.001982161, (0.00198), ,   
2024-01-01 11:45:00+00:00,42623.605,42623.605,42623.605,42623.605,0,-36.2709,-0.000850235,-0.001234179,-42623.605,-42623.605,-100,1006,-2,-0.000993049, (0.00099),0.0025, (0.0035)
2024-01-01 12:00:00+00:00,42713.03125,42727.31088,42708.85975,42727.31088,0.0003,103.70587499999965,0.002433062,-0.000850235,0,0,0,1006,0,0, -   , ,   
2024-01-01 12:15:00+00:00,42639.76838,42639.76838,42636.094874999995,42636.094874999995,0,-91.216,-0.002134841,0.002433062,0,0,0,1006,0,0, -   , ,   
2024-01-01 12:30:00+00:00,42704.094,42704.094,42704.094,42704.094,0,67.999125,0.001594872,-0.002134841,0,0,0,1006,0,0, -   , ,   
2024-01-01 12:45:00+00:00,42744.35166666667,42753.87,42739.34933333333,42739.34933333333,1.5665333333333334e-05,35.25533333333442,0.000825573,0.001594872,42739.34933333333,42739.34933,0,1006,0,0, -   ,0.0015, (0.0015)
2024-01-01 13:00:00+00:00,42649.55681,42649.55681,42649.55681,42649.55681,0,-89.79252083,-0.002100933,0.000825573,0,0,0,1004,0,-0.001988072, (0.00199), ,   
2024-01-01 13:15:00+00:00,42711.1055,42711.1055,42711.1055,42711.1055,0,61.54868749999878,0.001443126,-0.002100933,0,0,0,1006,0,0.001992032, 0.00199 , ,   
2024-01-01 13:30:00+00:00,42718.4,42718.4,42718.4,42718.4,0,7.294500000003609,0.000170787,0.001443126,0,0,0,1006,0,0, -   , ,   
2024-01-01 13:45:00+00:00,42754.8105,42767.52325,42733.270000000004,42745.982749999996,1.1749e-05,27.58274999999412,0.000645688,0.000170787,0,0,0,1007,0,0.000994036, 0.00099 , ,   
2024-01-01 14:00:00+00:00,42701.4915,42701.4915,42691.6035,42691.6035,0,-54.37925,-0.001272149,0.000645688,0,0,0,1005,0,-0.001986097, (0.00199), ,   
2024-01-01 14:15:00+00:00,42688.6,42688.6,42647.16,42647.16,0.0005,-44.4435,-0.001041036,-0.001272149,-42647.16,-42647.16,-92,1004,-2,-0.000995025, (0.00100),0.0025, (0.0035)
2024-01-01 14:30:00+00:00,42621.909,42643.7065,42621.909,42643.7065,0.000704536,-3.4535,-8.10E-05,-0.001041036,0,0,0,1004,0,0, -   , ,   
2024-01-01 14:45:00+00:00,42685.71833333333,42685.71833333333,42665.797999999995,42665.797999999995,1.5665333333333334e-05,22.091499999994994,0.000518048,-8.10E-05,0,0,0,1004,0,0, -   , ,   
2024-01-01 15:00:00+00:00,42639.956666666665,42639.956666666665,42631.67333333333,42631.67333333333,0.000493317,-34.12466667,-0.000799813,0.000518048,0,0,0,1004,0,0, -   , ,   
2024-01-01 15:15:00+00:00,42660.364,42665.036,42641.774999999994,42659.29825,0.00061003,27.62491666666756,0.00064799,-0.000799813,0,0,0,1004,0,0, -   , ,   
2024-01-01 15:30:00+00:00,42700.04116666667,42700.04116666667,42700.04116666667,42700.04116666667,0,40.74291666666977,0.000955077,0.00064799,42700.04116666667,42700.04117,0,1004,0,0, -   ,0.0015, (0.0015)
2024-01-01 15:45:00+00:00,42822.4855,42822.4855,42812.475,42812.475,0,112.43383333332895,0.002633108,0.000955077,0,0,0,1007,0,0.002988048, 0.00299 , ,   
2024-01-01 16:00:00+00:00,42802.625,42813.771,42802.625,42813.771,0,1.2960000000020955,3.0271550523597313e-05,0.002633108,0,0,0,1007,0,0, -   , ,   
